Continent;Country;PlotID;PlotCode;PlotViewID;LatitudeDecimal;LongitudeDecimal;;Altitude;PlotArea;TreeID;FamilyAPGID;Family;GenusID;Genus;SpeciesID;Species;Census.No;Census.Mean.Date;D1;DPOMtMinus1;D2;D3;D4;POM;F1;F2;F3;F4;Height;F5;LI;CI;WD;AllometricRegionID;ClusterID;ForestMoistureID;ForestEdaphicID;ForestEdaphicHeightID;ForestElevationID;ForestElevationHeightID;BiogeographicalRegionID;Monocot;PomChange;Recruit;Tag.No;Sub.Plot.T1;Stem
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051595;;Myrtaceae;;Myrceugenia;;Myrceugenia euosma;2;2019.644;315;;315;315;315;1300;ef;1;0;4;11;4;;;;;;;;;;;;;;;776;I1SE6;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051875;;Salicaceae;;Casearia;;Casearia decandra;2;2019.644;151;;151;151;151;1300;a;1;0;4;11;4;;;;;;;;;;;;;;;1078;I2SW8;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051798;;Myrtaceae;;Myrceugenia;;Myrceugenia mesomischa;2;2019.644;131;;131;131;131;1300;ah;1;0;4;10;4;;;;;;;;;;;;;;;1029a;I2SE4;1029a
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051743;;Myrtaceae;;Myrceugenia;;Myrceugenia miersiana;2;2019.644;144;;144;144;144;1300;ah;1;0;4;9;4;;;;;;;;;;;;;;;990c;I2NE2;990d
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051787;;Myrtaceae;;Eugenia;;Eugenia subterminalis;2;2019.644;142;;142;142;142;1300;a;1;0;4;10;4;;;;;;;;;;;;;;;1019;I2SE5;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051974;;Lauraceae;;Ocotea;;Ocotea porosa;2;2019.644;275;;275;275;275;1300;a;1;0;0;14;4;;;;;;;;;;;;;;;846;I3SW9;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051642;;Aquifoliaceae;;Ilex;;Ilex microdonta;2;2019.644;211;;211;211;211;1300;a;1;0;4;12;4;;;;;;;;;;;;;;;920;I2NW11;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051739;;Myrtaceae;;Myrceugenia;;Myrceugenia myrcioides;2;2019.644;271;;103;103;103;1300;a;1;0;2;12.5;4;;;;;;;;;;;;;;;989a;I2NE2;989b
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051456;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;477;;477;477;477;1300;a;1;0;4;14;4;;;;;;;;;;;;;;;688;I1NE2;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051687;;Myrtaceae;;Myrceugenia;;Myrceugenia mesomischa;2;2019.644;132;;205;205;205;1300;a;1;0;2;10;4;;;;;;;;;;;;;;;949c;I2NE3;949b
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051340;;Myrtaceae;;Myrceugenia;;Myrceugenia miersiana;2;2019.644;0;;0;0;0;;0;gpu;0;;;;;;;;;;;;;;;;;;599;I1SW8;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051395;;Myrtaceae;;Siphoneugena;;Siphoneugena reitzii;2;2019.644;0;;0;0;0;;0;mps;0;;;;;;;;;;;;;;;;;;644a;I1NW10;644b
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051987;;Myrtaceae;;Eugenia;;Eugenia subterminalis;2;2019.644;121;;121;121;121;1300;a;1;0;0;8;4;;;;;;;;;;;;;;;858;I3NW10;
